Sample,EquilibriumCount,StableEquilibriumCount,HasPhysicalBistability,LowerFoldSodium0,UpperFoldSodium0,UpperFoldSodium02,SodiumFoldChange,SodiumComparisonAvailable,SodiumDirectionPreserved,UnexpectedStability,OscillatoryInstability,UnexpectedFoldGeometry,alphaMultiplier,betaMultiplier,kaMultiplier,r0Multiplier,krMultiplier,KrMultiplier,prMultiplier,KsMultiplier,nsMultiplier,fminMultiplier,KfMultiplier,nfMultiplier,gzMultiplier,kzMultiplier,KzMultiplier,nzMultiplier
2517,3,2,1,-1.53864614272985,0.24094090267008,0.116007230853836,-0.124933671816243,1,1,0,0,0,1.03071725578595,1.05956203068561,0.800906805021349,1.0528564637861,0.89904429406845,1.15856958145426,1.04664317859571,0.99650279542242,1.02807719555267,1.13283872074495,0.888455999118046,0.997918617213007,1.19556516162143,0.963737496918723,1.00842626754225,0.898626233488667
2518,3,2,1,-1.31785027557842,0.367466069629896,0.209484288536524,-0.157981781093372,1,1,0,0,0,0.86593367924145,1.12675258067775,0.965834869259054,1.05230180643825,1.13375663749,1.15056934412041,1.18008795767782,0.907068720254949,1.08229562588559,0.910936168863594,0.921125754628802,1.05789944682811,1.00950713926895,0.834211139575044,0.946781681972798,0.849242873152021
2519,3,2,1,-1.0697227118162,0.346639340297194,0.198833937148887,-0.147805403148307,1,1,0,0,0,0.916478488431627,0.870896003762533,0.89498219461218,0.910775894022837,1.11342537252158,1.10296304292947,1.1534616035762,0.925827578643761,0.941126120851778,0.909269271463906,0.824761251773001,1.14558805884234,0.847660106453575,0.834777578827166,1.01817573515097,1.07996809306453
2520,3,2,1,-0.259448313971472,0.398234281124934,0.263850176403501,-0.134384104721433,1,1,0,0,0,0.959800677307809,0.818442673093727,1.10682685399268,1.17448594520475,0.976008687894606,0.858079831774317,1.13540452745776,0.880568909509837,1.17236742208162,1.04218523614837,0.973886476197882,0.803491519867943,0.800927666402514,1.17168686352674,1.13806754495679,0.987470748944221
2521,3,2,1,-0.861232750289651,0.381049612115806,0.222802210243658,-0.158247401872148,1,1,0,0,0,1.04147074345347,1.09281561281669,1.0254493748079,0.932150859313241,1.18842553792417,1.07838925999352,1.15035364774953,0.975904198686153,0.869987097250151,0.866753297709486,1.13294882240116,0.919682573002408,0.922191990326321,0.924476674481402,0.932392907476191,1.19158060013628
2522,3,2,1,-0.858584903039374,0.432469757926744,0.254607459451082,-0.177862298475662,1,1,0,0,0,1.16246410970294,1.16704578114196,1.17273891351046,1.14828094937053,1.02718184997956,1.10466530828577,1.1074364240964,1.14852558347669,0.995529066536746,1.09847694637728,1.14871047540016,0.906784321098151,1.02529711863772,0.88830338907029,0.963594552037889,0.805217197568654
2523,3,2,1,-0.652620850571642,0.32471811599052,0.191297460579322,-0.133420655411198,1,1,0,0,0,0.935306225084038,1.10093784604541,0.959359976827381,0.950813231680427,1.13807937837536,0.996397625366728,0.98971819418573,0.878702631761232,1.13030547207241,1.12375001014398,0.967861174247625,0.866237959986487,0.804126633699731,1.03395723507039,0.923582641171724,0.953596194578306
2524,3,2,1,-0.962238497475907,0.337468968208513,0.204580166571023,-0.132888801637491,1,1,0,0,0,1.12654469957921,1.09204148173356,0.990977995378406,0.862281747998161,0.960290038126424,0.935077515341985,1.19446644426525,0.99795931948876,0.994759095788379,1.00599774853539,1.09918000530277,1.04448305793645,1.11944241682069,1.09828297102035,1.02983716746868,0.931329918021575
2525,3,2,1,-0.976731224756468,0.549353441206026,0.303685278513098,-0.245668162692928,1,1,0,0,0,0.887245051427774,0.879965435680756,1.15452860897563,1.10989538647775,0.865902503248206,0.966714838457532,0.815002921810779,1.19616171258548,1.09731419040666,1.02185650451911,0.85849306182363,0.891043115138102,1.18193880434862,0.982354794203577,0.891917289254118,0.924674558882649
2526,3,2,1,-1.19878500228498,0.213030220959055,0.0850963690327774,-0.127933851926278,1,1,0,0,0,1.03215265393438,1.18194799469436,0.906664352246991,0.912994999023204,1.00424137548967,0.940108821681056,0.973022641950482,0.845372022374393,0.863262285068321,0.860382753554469,0.844681865029924,1.08103973494169,0.932025931227497,0.912053568591163,1.00396029038881,1.02370998251224
